Id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
266,8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6
267,11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,6
268,6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,6
269,6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5
270,9.9,0.53,0.57,2.4,0.093,30,52,0.9971,3.19,0.76,11.6,7
271,5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5
272,8.3,0.43,0.3,3.4,0.079,7,34,0.99788,3.36,0.61,10.5,5
273,7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,5
274,6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5
275,7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,5
276,7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,7
277,9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5
278,10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6
279,11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6,7
280,8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5
281,6.8,0.815,0,1.2,0.267,16,29,0.99471,3.32,0.51,9.8,3
282,7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6
283,6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8,6
284,9.1,0.785,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4,6
285,9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7
286,14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,6
287,7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7
288,9.5,0.39,0.41,8.9,0.069,18,39,0.99859,3.29,0.81,10.9,7
289,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
290,9.3,0.715,0.24,2.1,0.07,5,20,0.9966,3.12,0.59,9.9,5
291,5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,7
292,8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,4
293,10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,5
294,7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,3
295,7.1,0.59,0.01,2.5,0.077,20,85,0.99746,3.55,0.59,9.8,5
296,6.8,0.67,0,1.9,0.08,22,39,0.99701,3.4,0.74,9.7,5
297,8,0.39,0.3,1.9,0.074,32,84,0.99717,3.39,0.61,9,5
298,7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3,5
299,8.9,0.28,0.45,1.7,0.067,7,12,0.99354,3.25,0.55,12.3,7
300,7.1,0.65,0.18,1.8,0.07,13,40,0.997,3.44,0.6,9.1,5
301,8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,7
302,9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,6
303,9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11,7
304,10.2,0.34,0.48,2.1,0.052,5,9,0.99458,3.2,0.69,12.1,7
305,7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,5
306,7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5
307,10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,6
308,7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,3
309,8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5
310,13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,6
311,10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,3
312,8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5
313,8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12,6
314,8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,5
315,6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,6
316,9.3,0.49,0.36,1.7,0.081,3,14,0.99702,3.27,0.78,10.9,6
317,7.4,0.965,0,2.2,0.088,16,32,0.99756,3.58,0.67,10.2,5
318,8.3,0.34,0.4,2.4,0.065,24,48,0.99554,3.34,0.86,11,6
319,7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,6
320,7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,5
321,8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,5
322,9,0.53,0.49,1.9,0.171,6,25,0.9975,3.27,0.61,9.4,6
323,9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5
324,6.5,0.63,0.33,1.8,0.059,16,28,0.99531,3.36,0.64,10.1,6
325,5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1,4
326,8.7,0.48,0.3,2.8,0.066,10,28,0.9964,3.33,0.67,11.2,7
327,7.1,0.72,0,1.8,0.123,6,14,0.99627,3.45,0.58,9.8,5
328,7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,6
329,7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,6
330,7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5
331,6,0.42,0.19,2,0.075,22,47,0.99522,3.39,0.78,10,6
332,7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.566666667,6
333,9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5
334,8,0.31,0.45,2.1,0.216,5,16,0.99358,3.15,0.81,12.5,7
335,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
336,8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6
337,7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6
338,7.5,0.42,0.31,1.6,0.08,15,42,0.9978,3.31,0.64,9,5
339,8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,5
340,7.6,0.42,0.08,2.7,0.084,15,48,0.9968,3.21,0.59,10,5
341,10.1,0.37,0.34,2.4,0.085,5,17,0.99683,3.17,0.65,10.6,7
342,7.5,0.58,0.56,3.1,0.153,5,14,0.99476,3.21,1.03,11.6,6
343,7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4
344,7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5
345,8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,6
346,8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6
347,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5
348,7.6,0.4,0.29,1.9,0.078,29,66,0.9971,3.45,0.59,9.5,6
349,7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5
350,7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,6
351,7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2,6
352,5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6
353,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
354,7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,6
355,7,0.655,0.16,2.1,0.074,8,25,0.99606,3.37,0.55,9.7,5
356,10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5
357,11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11,6
358,7.4,0.58,0,2,0.064,7,11,0.99562,3.45,0.58,11.3,6
359,8.7,0.63,0.28,2.7,0.096,17,69,0.99734,3.26,0.63,10.2,6
360,7.1,0.35,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11,6
361,9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5
362,7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,5
363,9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5
364,11.5,0.42,0.48,2.6,0.077,8,20,0.99852,3.09,0.53,11,5
365,7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,5
366,7.5,0.71,0,1.6,0.092,22,31,0.99635,3.38,0.58,10,6
367,8.3,0.53,0,1.4,0.07,6,14,0.99593,3.25,0.64,10,6
368,7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5
369,8.8,0.64,0.17,2.9,0.084,25,130,0.99818,3.23,0.54,9.6,5
370,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5
371,7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,5
372,6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5
373,10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,6
374,7,0.54,0,2.1,0.079,39,55,0.9956,3.39,0.84,11.4,6
375,7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,6
376,11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,6
377,6.3,0.6,0.1,1.6,0.048,12,26,0.99306,3.55,0.51,12.1,5
378,6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,6
379,7.2,0.62,0.01,2.3,0.065,8,46,0.99332,3.32,0.51,11.8,6
380,6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,5
381,8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,5
382,8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,4
383,8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1,6
384,8.9,0.84,0.34,1.4,0.05,4,10,0.99554,3.12,0.48,9.1,6
385,7.6,0.48,0.31,2.8,0.07,4,15,0.99693,3.22,0.55,10.3,6
386,9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,4
387,7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7
388,11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7
389,7.2,0.57,0.06,1.6,0.076,9,27,0.9972,3.36,0.7,9.6,6
390,10,0.46,0.44,2.9,0.065,4,8,0.99674,3.33,0.62,12.2,6
391,11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6
392,9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,6
393,9,0.66,0.17,3,0.077,5,13,0.9976,3.29,0.55,10.4,5
394,8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,5
395,6.3,0.36,0.19,3.2,0.075,15,39,0.9956,3.56,0.52,12.7,6
396,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5
397,7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5
398,9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,6
399,12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,5
400,8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13,5
401,7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1,6
402,8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5
403,8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,6
404,6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,5
405,7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8,5
406,8,0.59,0.05,2,0.089,12,32,0.99735,3.36,0.61,10,5
407,9.4,0.33,0.59,2.8,0.079,9,30,0.9976,3.12,0.54,12,6
408,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6
409,8.5,0.18,0.51,1.75,0.071,45,88,0.99524,3.33,0.76,11.8,7
410,7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6
411,7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,5
412,12,0.63,0.5,1.4,0.071,6,26,0.99791,3.07,0.6,10.4,4
413,7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6
414,10.7,0.46,0.39,2,0.061,7,15,0.9981,3.18,0.62,9.5,5
415,11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,6
416,10,0.42,0.5,3.4,0.107,7,21,0.9979,3.26,0.93,11.8,6
417,7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,6
418,9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,5
419,7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,7
420,6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,6
421,9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4,5
422,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5
423,8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5
424,7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7,5
425,9,0.36,0.52,2.1,0.111,5,10,0.99568,3.31,0.62,11.3,6
426,6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,6
427,7.2,0.63,0.03,2.2,0.08,17,88,0.99745,3.53,0.58,9.8,6
428,8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5
429,10.1,0.43,0.4,2.6,0.092,13,52,0.99834,3.22,0.64,10,7
430,6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6
431,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7
432,8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,7
433,7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,5
434,9.3,0.33,0.45,1.5,0.057,19,37,0.99498,3.18,0.89,11.1,7
435,9.4,0.615,0.28,3.2,0.087,18,72,1.0001,3.31,0.53,9.7,5
436,6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5
437,11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,5
438,7.6,0.41,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1,5
439,8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,6
440,10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6
441,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7
442,7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,5
443,8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,6
444,9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,5
445,9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,5
446,6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25,6
447,6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,6
448,6,0.5,0.04,2.2,0.092,13,26,0.99647,3.46,0.47,10,5
449,11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,7
450,8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5
451,9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,5
452,5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,5
453,7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6
454,8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,6
455,7.1,0.36,0.3,1.6,0.08,35,70,0.99693,3.44,0.5,9.4,5
456,8.9,0.31,0.36,2.6,0.056,10,39,0.99562,3.4,0.69,11.8,5
457,8.1,0.53,0.22,2.2,0.078,33,89,0.99678,3.26,0.46,9.6,6
458,9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,6
459,7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,7
460,7.9,0.57,0.31,2,0.079,10,79,0.99677,3.29,0.69,9.5,6
461,7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,5
462,10.5,0.39,0.46,2.2,0.075,14,27,0.99598,3.06,0.84,11.4,6
463,7.7,0.6,0,2.6,0.055,7,13,0.99639,3.38,0.56,10.8,5
464,6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,7
465,8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6
466,7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2,6
467,8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,5
468,7,0.54,0.09,2,0.081,10,16,0.99479,3.43,0.59,11.5,6
469,8.8,0.44,0.49,2.8,0.083,18,111,0.9982,3.3,0.6,9.5,5
470,7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5
471,7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5
472,10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,5
473,6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,7
474,7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6
475,7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,8
476,7.9,0.2,0.35,1.7,0.054,7,15,0.99458,3.32,0.8,11.9,7
477,9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1,5
478,6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5
479,5.2,0.49,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2,6
480,7.9,0.33,0.41,1.5,0.056,6,35,0.99396,3.29,0.71,11,6
481,13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,6
482,7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,6
483,8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,6
484,8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5
485,8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,5
486,10.2,0.41,0.43,2.2,0.11,11,37,0.99728,3.16,0.67,10.8,5
487,6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7
488,6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.233333333,6
489,8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5
490,6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,7
491,7.6,0.735,0.02,2.5,0.071,10,14,0.99538,3.51,0.71,11.7,7
492,9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,6
493,7.9,0.66,0,1.4,0.096,6,13,0.99569,3.43,0.58,9.5,5
494,5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11,5
495,7.4,0.37,0.43,2.6,0.082,18,82,0.99708,3.33,0.68,9.7,6
496,7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5
497,8.7,0.41,0.41,6.2,0.078,25,42,0.9953,3.24,0.77,12.6,7
498,7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6
499,9.9,0.44,0.46,2.2,0.091,10,41,0.99638,3.18,0.69,11.9,6
500,10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6
501,7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7
502,7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,7
503,11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,7
504,6.3,0.55,0.15,1.8,0.077,26,35,0.99314,3.32,0.82,11.6,6
505,9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5
506,7.3,0.52,0.32,2.1,0.07,51,70,0.99418,3.34,0.82,12.9,6
507,7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,5
508,11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,6
509,8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,6
510,8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,6
511,9.1,0.3,0.34,2,0.064,12,25,0.99516,3.26,0.84,11.7,7
512,9.3,0.41,0.39,2.2,0.064,12,31,0.9984,3.26,0.65,10.2,5
513,7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,5
514,6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,6
515,12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12,7
516,9.9,0.27,0.49,5,0.082,9,17,0.99484,3.19,0.52,12.5,7
517,6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7
518,7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5
519,9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5
520,6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,6
521,8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,6
522,8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,6
523,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5
524,7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,5
525,10.1,0.27,0.54,2.3,0.065,7,26,0.99531,3.17,0.53,12.5,6
526,7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,5
527,9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5
528,7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6
529,9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,6
530,7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,5
531,7.5,0.43,0.3,2.2,0.062,6,12,0.99495,3.44,0.72,11.5,7
532,10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,6
